strain	nn_pool_ibs	nn_pool	mean_pool_ibs
QX1212	0.96502	XZ1515	0.917919306930693
QX1233	0.968475	N2	0.9233080392156863
QX1791	0.91775	N2	0.8834322772277228
QX1792	0.9466	N2	0.9091342574257426
QX1793	0.93898	XZ1515	0.9038626732673267
QX1794	0.940215	XZ1515	0.901309603960396
RC301	0.977015	N2	0.9266268627450981
TWN2530	0.970785	N2	0.9262319607843137
TWN2542	0.97545	MY18	0.925581568627451
WN2001	0.94689	N2	0.9118338613861386
WN2002	0.967385	N2	0.9213341176470589
WN2033	0.970465	N2	0.9254974509803922
WN2050	0.974115	JU2106	0.9184545098039215
WN2063	0.97186	N2	0.9272193137254902
WN2064	0.983415	N2	0.9316530392156863
WN2066	0.976845	N2	0.9281685294117648
WN2068	0.980605	N2	0.9322096078431372
WN2069	0.98802	N2	0.9340115686274509
WN2082	0.972105	N2	0.9257810784313726
WN2086	0.97891	N2	0.9281046078431373
XZ1513	0.94174	ECA372	0.895890297029703
XZ1514	0.858545	ECA363	0.7693011881188119
XZ1515	0.978225	N2	0.9311745544554455
XZ1516	0.702605	N2	0.6812267326732673
XZ1672	0.979085	N2	0.9306498039215686
XZ1734	0.96229	JU2619	0.9229402941176471
XZ1735	0.96162	N2	0.9204966666666666
XZ1756	0.969515	N2	0.9241169607843137
XZ2018	0.984415	N2	0.9319916666666667
XZ2019	0.93734	N2	0.9043033333333333
XZ2020	0.96675	N2	0.9245793137254902
XZ2211	0.95388	XZ1515	0.9113417647058824
