strain,delta_ctrl_pos-1_T2,vst_ctrl_pos-1_T2,log2fc_ctrl_pos-1_T2,negctrl_growth_HT115_delta_t0,negctrl_abundance_log10
"MY2212",-0.00174258097046949,-0.0338178724972977,-4.53239002497566,0.0018212841652944,-2.73962228825714
"MY2453",NA,NA,NA,0,NA
"MY2530",NA,NA,NA,0,NA
"MY2535",NA,NA,NA,0,NA
"MY2573",-0.00254219361369763,-0.0182791990224678,-0.759114705130648,0.00181906460252211,-2.20666459772419
"MY2585",-0.00309983836491626,-0.0335930754319361,-2.19642570796258,0.00396488768226925,-2.4017691109092
"MY2693",-0.00257945948238169,-0.050810239214236,-66.4951072008076,0.00257945948238169,-2.58847128954537
"MY2713",-0.00322123125641199,-0.0416288244080996,-3.4628427752765,-0.00477348629207169,-2.45068796296917
"MY2741",NA,NA,NA,0,NA
"MY518",-0.0217049155498289,-0.133457268072497,-6.56964766384132,-0.00111233797927752,-1.65884548191987
"MY679",NA,NA,NA,0,NA
"MY772",-0.00112299122765602,-0.0148793532333877,-1.15107949410166,-0.00801122509852434,-2.68975871328681
"MY795",-0.005409531172719,-0.0551743408754578,-3.66245688868048,0.00587338261588685,-2.23111170653729
"MY920",NA,NA,NA,0,NA
"NIC1",NA,NA,NA,-0.00335910311444273,NA
"NIC1049",-0.00461082068710294,-0.0438198558324461,-2.55017428988298,0.0050551190912377,-2.25491541467647
"NIC1107",NA,NA,NA,0,NA
"NIC1119",-0.000106779927423217,-0.00215979376710748,-0.252104057948393,-0.000265640067208965,-3.1765226590783
"NIC166",NA,NA,NA,0,NA
"NIC1779",NA,NA,NA,0,NA
"NIC1780",-0.00443092521454663,-0.0435259415801266,-2.62842562886385,-0.00304843739819603,-2.27689443163103
"NIC1783",0.00046944915934725,0.0109222360502459,1.49856445026231,0.00025714588742231,-3.58982041703249
"NIC1785",-0.000615825508346398,-0.00752040598672862,-0.530577497302108,-0.000537696929950812,-2.69870148439578
"NIC1786",0.000461766176574867,0.0106818547264083,1.45536435169192,0.000265038906924653,-3.5766903682428
"NIC1787",0.000869871137874961,0.012069419184483,0.974273752765399,-0.000176412788739577,-3.04491572514149
"NIC1788",-0.00556632247257454,-0.0359947997283918,-1.35959846946924,0.00499390957632708,-2.03998160150114
"NIC1789",0.00315236298497293,0.0343131415162448,2.259365481956,0.000832239247291348,-3.07975180731242
"NIC1794",-0.00512422074333908,-0.0436785701051145,-2.24798172170968,-0.00239989440710651,-2.18771417935352
"NIC1796",-0.00015674709541545,-0.00490457377856277,-0.892418581433442,0.000339801816877857,-3.46877430334243
"NIC1798",-0.000724231589165848,-0.016197516363913,-2.18866224824174,0.00092773455670267,-3.03257626629164
"NIC1799",NA,NA,NA,-0.00598943636673259,NA
"NIC1801",NA,NA,NA,0,NA
"NIC1832",-0.000297550004455537,-0.00638083961154628,-0.794185995558918,0.000702876991056414,-3.15312067324446
"NIC195",-0.000916306434516353,-0.0302751786760001,-65.0019404711238,-0.000936875549611967,-3.03795926370768
"NIC199",NA,NA,NA,0,NA
"NIC2",-0.00209574102459768,-0.0457952694793857,-66.1954988665345,0.00172919197714319,-2.67866238511249
"NIC207",NA,NA,NA,0,NA
"NIC231",-0.00222949622147214,-0.0472351043071809,-66.2847561702844,0.00222949622147214,-2.65179325935169
"NIC236",NA,NA,NA,0,NA
"NIC242",-0.00292014056230084,-0.0266020614472745,-1.42230421249107,-0.00765174891402198,-2.33178349033346
"NIC251",-0.00207280635470786,-0.0373617242104349,-4.70843034882334,-0.0011275036872131,-2.66650386949976
"NIC252",NA,NA,NA,0,NA
"NIC255",NA,NA,NA,-0.00496411745399147,NA
"NIC256",-0.000218963068321416,-0.00515207394368405,-0.70269966409334,-0.000487841238575175,-3.24574206847622
"NIC258",-0.000199036575944549,-0.0141085003644145,-62.7991438927082,0.000199036575944549,-3.70106710815677
"NIC259",NA,NA,NA,-0.00414710436565715,NA
"NIC260",NA,NA,NA,0,NA
"NIC261",-0.000796144666531344,-0.0282197809771781,-64.7991409258535,0.000796144666531344,-3.09900800994105
"NIC262",-0.00112889809275845,-0.0150650954685315,-1.174473798573,0.00202691195870213,-2.69316511498743
"NIC265",-0.0116257733834634,-0.108032901025208,-68.6672932026638,0.000168664025531354,-1.93457814682523
"NIC266",-0.00354322959063715,-0.0378633070005224,-2.47007427601005,-0.000392705993889112,-2.3641592783449
"NIC267",-0.00390493612755756,-0.0451349014777593,-3.33084507446377,0.00433584944400605,-2.3629258064449
"NIC268",0.00646873059334377,0.0610270768391517,3.77048365345385,0.000511494222475006,-3.29115926744819
"NIC269",0.0102818181277906,0.0589857333618046,2.01540715399051,-0.00594122061034963,-2.47122441585851
"NIC271",0.000666899608045069,0.0197199386807757,3.84842430949305,-0.00207587675655902,-4.30318259734405
"NIC272",-0.00261241593001068,-0.0304044835248226,-2.12983162824494,0.00230855106869849,-2.47030231728572
"NIC274",NA,NA,NA,0,NA
"NIC275",-0.00131605088414321,-0.0362853774913153,-65.5242536865939,0.00131605088414321,-2.88072731871949
"NIC276",NA,NA,NA,0,NA
"NIC277",-0.00109909370097987,-0.0111941530187629,-0.659189723817455,0.00285193651677861,-2.52335453111012
